model,configuration_id,k,eps,min_samples,inertia,runtime_seconds,stability_score,interpretability_score,deterministic_fixed_input,valid_configuration,rejection_reason,number_of_clusters,noise_percentage,smallest_cluster_pct,largest_cluster_pct,cluster_balance,silhouette_score,davies_bouldin_score,calinski_harabasz_score,selection_score,selected
DBSCAN,dbscan_eps_4.90583_min_8,,4.905828564498964,8,,0.09536769986152649,0.9914923271267567,0.9397018970189702,True,True,,2,6.416726748377793,0.5767844268204758,93.00648882480172,0.006201550387596899,0.9105557285242637,0.10838661646149785,3399.692062628651,0.7401981267032413,False
DBSCAN,dbscan_eps_5.63542_min_8,,5.635421823217915,8,,0.13299899990670383,1.0,0.8367586611861423,True,False,smallest cluster below 0.5%,4,3.508771929824561,0.14419610670511895,95.36169190098533,0.0015120967741935483,0.382329228221559,0.3467986476750984,1276.6769736535618,-1.0,False
DBSCAN,dbscan_eps_3.83376_min_12,,3.833763499066156,12,,0.052059799898415804,0.9794757568435166,0.8486640832143586,True,False,smallest cluster below 0.5%,2,17.832251862533045,0.2883922134102379,81.87935592405672,0.0035221602582917524,0.25608366757381607,1.09658426467606,16.583180814253236,-1.0,False
DBSCAN,dbscan_eps_4.11162_min_12,,4.1116201222683015,12,,0.0602661999873817,0.9906383549509593,0.8815677966101695,True,False,smallest cluster below 0.5%,2,13.434270608026916,0.2883922134102379,86.27733717856285,0.003342618384401114,0.915822600125682,0.09639813075646114,1829.7747371644666,-1.0,False
DBSCAN,dbscan_eps_4.42770_min_12,,4.427696336988845,12,,0.07550290017388761,0.9870912880656628,0.9119000657462195,True,False,smallest cluster below 0.5%,2,9.66113914924297,0.43258832011535686,89.90627253064167,0.0048115477145148355,0.913361278258928,0.10345004595216811,2694.514848036354,-1.0,False
DBSCAN,dbscan_eps_4.72391_min_12,,4.723906193534097,12,,0.07828660006634891,0.9839053843023572,0.9281730983716261,True,False,smallest cluster below 0.5%,2,7.738524393174718,0.4806536890170632,91.78082191780823,0.005236973029588898,0.9115648766502381,0.10322312819345678,2569.0617395384174,-1.0,False
DBSCAN,dbscan_eps_5.12552_min_12,,5.125521068462198,12,,0.12303210003301501,0.9952466560417225,0.9465423111919927,True,True,,2,5.647680845950492,0.6488824801730353,93.70343667387647,0.006924852526288792,0.909293544568281,0.11337030999523573,3298.9990374550794,0.7473593230075855,False
DBSCAN,dbscan_eps_5.91721_min_12,,5.917205337385099,12,,0.16037869988940656,0.9886585765908259,0.9658774373259054,True,True,,2,3.532804614275414,0.8171112713290074,95.65008411439557,0.008542713567839196,0.9077370954653875,0.1220472941220267,3567.0426961805997,0.7168328738363574,False
DBSCAN,dbscan_eps_3.94033_min_16,,3.94032849533955,16,,0.06061220006085932,0.9863211162946485,0.8524892440073756,True,False,fewer than two non-noise clusters,1,17.303532804614274,82.69646719538572,82.69646719538572,1.0,,,,-1.0,False
DBSCAN,dbscan_eps_4.22869_min_16,,4.228691136545616,16,,0.07463010004721582,0.9871252558554521,0.886261980830671,True,False,fewer than two non-noise clusters,1,12.833453496755586,87.16654650324442,87.16654650324442,1.0,,,,-1.0,False
DBSCAN,dbscan_eps_4.58612_min_16,,4.586117017855448,16,,0.08916640002280474,0.9920997249208652,0.9139029211508896,True,False,fewer than two non-noise clusters,1,9.420812304734438,90.57918769526556,90.57918769526556,1.0,,,,-1.0,False
DBSCAN,dbscan_eps_4.87903_min_16,,4.879029922875812,16,,0.10034990007989109,0.9864039584439256,0.9325414612281487,True,True,,2,7.233838019706801,0.5046863734679163,92.26147560682529,0.005470174524615785,0.9105443893541596,0.10735661328690489,2278.113019656441,0.7077131585239008,False
DBSCAN,dbscan_eps_5.28515_min_16,,5.285147501922374,16,,0.11467539984732866,0.9966315287179194,0.9491332116788321,True,True,,2,5.359288632540254,0.6248497957221821,94.01586157173756,0.0066462167689161555,0.9091990751504818,0.11408508527797469,3064.4350445223636,0.7540130709610132,True
DBSCAN,dbscan_eps_6.13941_min_16,,6.139410880790087,16,,0.19532150006853044,0.9920295073841247,0.9690265486725663,True,True,,2,3.1963470319634704,0.8171112713290074,95.98654169670752,0.008512769153730596,0.9056675572884051,0.12914246506680993,2610.863936742396,0.7121802859154329,False
